step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right
53,0.2650000000000001,0,0.35819465,-0.6640953,-0.06975143,-0.3466665,-1.0471381,0.2382625,1.2580677
54,0.27000000000000013,0,0.3447247,-0.64329016,-0.06980024,-0.20181511,-0.8538532,0.03015643,1.0156136
55,0.27500000000000013,0,0.3366936,-0.61525613,-0.06975449,-0.04896346,-0.6593781,-0.15894231,0.773346
56,0.28000000000000014,0,0.33838314,-0.57793134,-0.06981029,0.1320045,-0.45949957,-0.36631635,0.52545375
57,0.28500000000000014,0,0.33278018,-0.5136625,0.034909677,0.01095307,-0.59269744,-0.31538734,0.7694502
58,0.29000000000000015,0,0.3331912,-0.5072724,0.034900084,-0.1674392,-0.7886815,-0.114991926,1.0180874
59,0.29500000000000015,0,0.3441948,-0.51011413,0.03483047,-0.3567263,-0.98746955,0.09423809,1.2655842
60,0.30000000000000016,0,0.38002768,-0.51280844,0.034913156,-0.5541799,-1.186122,0.30232495,1.4949442
61,0.30500000000000016,0,0.40746582,-0.549914,-0.03059926,-0.7531866,-1.0390936,0.5025009,1.2438236
62,0.31000000000000016,0,0.41999432,-0.57111704,-0.06984452,-0.93032855,-0.8487032,0.7026146,0.9954574
63,0.31500000000000017,0,0.4199997,-0.5699578,-0.06981261,-0.9997809,-0.64800155,0.8544068,0.74600655
64,0.3200000000000002,0,0.3886196,-0.56267214,-0.06983539,-1.0228671,-0.4785186,0.9125106,0.49531698
65,0.3250000000000002,0,0.3588738,-0.53701663,-0.03518805,-0.84203446,-0.60906184,0.7123322,0.7463338
66,0.3300000000000002,0,0.35636172,-0.50490695,0.014928647,-0.6433447,-0.8091216,0.51273257,0.99606717
67,0.3350000000000002,0,0.36912134,-0.49102628,0.034875702,-0.5300752,-0.9943364,0.35049444,1.2375091
68,0.3400000000000002,0,0.37317133,-0.4993231,0.034913328,-0.48990592,-1.1909422,0.16835679,1.4844815
69,0.3450000000000002,0,0.3917198,-0.54268897,-0.06959143,-0.33078834,-1.0383028,-0.030489359,1.2394054
70,0.3500000000000002,0,0.3917838,-0.5417934,-0.06981017,-0.19318244,-0.8392938,-0.25504538,0.9958311
71,0.3550000000000002,0,0.3973969,-0.52777153,-0.069752626,-0.041340537,-0.6382566,-0.47636685,0.75100976
72,0.3600000000000002,0,0.38541123,-0.5059316,-0.06981606,0.1206248,-0.46632716,-0.6815268,0.526015
73,0.3650000000000002,0,0.36774257,-0.4514044,0.014503985,0.3153957,-0.62607193,-0.8816688,0.74161476
74,0.3700000000000002,0,0.38021222,-0.4290524,0.034907833,0.51465493,-0.8194081,-1.0683491,0.8304758
75,0.3750000000000002,0,0.41874346,-0.4214639,0.020325184,0.7147915,-0.973752,-1.2652806,0.8624833
76,0.3800000000000002,0,0.4199993,-0.42318612,-0.022921247,0.9125271,-1.0295551,-1.4567919,0.8746868
77,0.38500000000000023,0,0.41544124,-0.4173088,-0.039764687,0.78220344,-0.85364676,-1.2566411,0.6228052
78,0.39000000000000024,0,0.42,-0.40045977,-0.023244204,0.58225465,-0.7083859,-1.058197,0.40141267
79,0.39500000000000024,0,0.4036861,-0.37506673,0.034961842,0.4149035,-0.65311795,-0.9059082,0.30670428
80,0.40000000000000024,0,0.3739848,-0.3911785,0.034904398,0.24019456,-0.63805103,-0.70799786,0.27128658
81,0.40500000000000025,0,0.35820365,-0.41431165,0.03490311,0.05458042,-0.6479214,-0.51145244,0.35169235
82,0.41000000000000025,0,0.35771477,-0.44384614,0.034900907,-0.13945507,-0.65160555,-0.3117468,0.38154665
83,0.41500000000000026,0,0.37338004,-0.47875696,0.03477348,-0.33720312,-0.6527862,-0.111260116,0.39259356
84,0.42000000000000026,0,0.39973232,-0.5214204,0.031411182,-0.51945543,-0.65123504,0.08831739,0.3968922
85,0.42500000000000027,0,0.4199999,-0.5868408,-0.026059125,-0.59974605,-0.6480449,0.25364345,0.399048
86,0.43000000000000027,0,0.42,-0.6444729,-0.06975527,-0.62802106,-0.65341985,0.32795498,0.39912844
87,0.4350000000000003,0,0.42,-0.67939264,-0.064145036,-0.63463956,-0.65300363,0.3558878,0.39931297
88,0.4400000000000003,0,0.41999996,-0.71026653,-0.049383525,-0.63702273,-0.65290076,0.3662033,0.3993716
89,0.4450000000000003,0,0.42,-0.73720914,-0.025842957,-0.63786215,-0.65285635,0.3700138,0.39939085
90,0.4500000000000003,0,0.41997606,-0.76662636,-0.013633837,-0.64149487,-0.65067506,0.3552718,0.3996497
91,0.4550000000000003,0,0.42,-0.79862255,-0.014356311,-0.6409868,-0.65114206,0.35799783,0.3996023
92,0.4600000000000003,0,0.42,-0.83033866,-0.018348182,-0.63983446,-0.65179414,0.3657875,0.3995539
93,0.4650000000000003,0,0.42,-0.8600536,-0.019790988,-0.6394028,-0.65205544,0.36889082,0.39954054
94,0.4700000000000003,0,0.42,-0.88810116,-0.0200765,-0.6393957,-0.652016,0.36981028,0.39956576
95,0.4750000000000003,0,0.42,-0.9146814,-0.020133331,-0.6394295,-0.65196913,0.3700656,0.3995834
96,0.4800000000000003,0,0.42,-0.939771,-0.020004645,-0.6394538,-0.6519813,0.36969832,0.39957154
97,0.4850000000000003,0,0.42,-0.9635227,-0.019949758,-0.6394963,-0.6519513,0.36970952,0.3995763
98,0.4900000000000003,0,0.42,-0.9859826,-0.019950356,-0.63951844,-0.6519435,0.36958724,0.3995726
99,0.49500000000000033,0,0.42,-1.0071907,-0.019986963,-0.63950276,-0.6519535,0.3697757,0.39957413
100,0.5000000000000003,0,0.42,-1.0270641,-0.019733602,-0.6395278,-0.6519722,0.36884117,0.39955297
101,0.5050000000000003,0,0.42,-1.0458047,-0.019807689,-0.63954896,-0.65195066,0.36933088,0.3995645
102,0.5100000000000003,0,0.42,-1.0634004,-0.019971747,-0.6395267,-0.6519562,0.36956924,0.3995636
103,0.5150000000000003,0,0.42,-1.079745,-0.019894777,-0.6394868,-0.65200835,0.3693469,0.39955178
104,0.5200000000000004,0,0.42,-1.0948414,-0.019576307,-0.63955426,-0.6519782,0.36868358,0.3995506
105,0.5250000000000004,0,0.4199991,-1.0919807,0.033365645,-0.71716046,-0.7293882,0.40516776,0.43399015
106,0.5300000000000004,0,0.41999972,-1.109924,0.03098333,-0.7452804,-0.75747395,0.4187919,0.4468187
107,0.5350000000000004,0,0.41999993,-1.1296816,0.02153709,-0.75648105,-0.7684277,0.42371073,0.45151022
108,0.5400000000000004,0,0.42,-1.14793,0.014253978,-0.76056916,-0.77244884,0.42553213,0.45324215
109,0.5450000000000004,0,0.42,-1.191111,-0.06807008,-0.61930263,-0.6079633,0.22563718,0.20343846
110,0.5500000000000004,0,0.41999954,-1.1990949,-0.05508557,-0.56781656,-0.5433608,0.04142857,-0.007815921
111,0.5550000000000004,0,0.4199999,-1.1968323,-0.01785676,-0.5482102,-0.51910084,-0.04132592,-0.09364309
112,0.5600000000000004,0,0.42,-1.1893735,0.031004347,-0.54084945,-0.5101575,-0.071851864,-0.12532493
113,0.5650000000000004,0,0.42,-1.2001573,0.034923673,-0.40316403,-0.57143784,-0.27128068,-0.083327465
114,0.5700000000000004,0,0.4199993,-1.2151392,0.034907915,-0.34935004,-0.59753036,-0.46764168,-0.06813202
115,0.5750000000000004,0,0.4199999,-1.2301865,0.0349095,-0.33134297,-0.6058598,-0.5716051,-0.06230763
116,0.5800000000000004,0,0.42,-1.2450061,0.034909915,-0.32472342,-0.6087057,-0.6099753,-0.06012927
117,0.5850000000000004,0,0.4199987,-1.2635958,0.0173547,-0.14303902,-0.73145086,-0.80764145,0.14565347
118,0.5900000000000004,0,0.41999966,-1.2872652,-0.01850372,0.057157476,-0.78386474,-1.006044,0.22733583
119,0.5950000000000004,0,0.41999993,-1.3109437,-0.05651161,0.2572999,-0.80248505,-1.20593,0.25760078
120,0.6000000000000004,0,0.42,-1.3238064,-0.069669135,0.45235273,-0.8100852,-1.4059415,0.268728
121,0.6050000000000004,0,0.42,-1.3196288,-0.026840711,0.3204013,-0.6294408,-1.2059107,0.017460577
122,0.6100000000000004,0,0.42,-1.3107866,0.034914535,0.13162304,-0.5037079,-1.0064788,-0.21576834
123,0.6150000000000004,0,0.42,-1.3331796,0.034861617,-0.06792557,-0.46433717,-0.80680764,-0.32439327
124,0.6200000000000004,0,0.42,-1.3611588,0.016242428,-0.18896858,-0.44815323,-0.68775976,-0.36426494
125,0.6250000000000004,0,0.42,-1.3822062,0.034898754,-0.38195696,-0.64530635,-0.49293086,-0.11499932
126,0.6300000000000004,0,0.4199986,-1.4163046,0.018521916,-0.56243765,-0.80800295,-0.39315337,0.13419877
127,0.6350000000000005,0,0.41999987,-1.4651935,-0.050595213,-0.64145494,-0.86984205,-0.35650337,0.2802307
128,0.6400000000000005,0,0.42,-1.4894302,-0.069128044,-0.67324966,-0.8954758,-0.3433371,0.333853
129,0.6450000000000005,0,0.42,-1.4702756,0.0349068,-0.83947515,-1.0795937,-0.5424884,0.5706842
130,0.6500000000000005,0,0.42,-1.4987152,0.017049963,-1.001539,-1.2217306,-0.74198544,0.8013361
131,0.6550000000000005,0,0.42,-1.5357764,-0.040880226,-1.19795,-1.2217305,-0.94210356,1.0494677
132,0.6600000000000005,0,0.41835603,-1.5568415,-0.0677045,-1.2217304,-1.2217277,-1.1360898,1.2721868
133,0.6650000000000005,0,0.4199833,-1.5659161,-0.06711763,-1.0472156,-1.2215415,-1.329268,1.4999999
134,0.6700000000000005,0,0.42,-1.5679381,-0.045094915,-0.84844077,-1.2216159,-1.5009831,1.5
135,0.6750000000000005,0,0.42,-1.5665942,-0.015635801,-0.6483095,-1.2217305,-1.5009831,1.5000001
136,0.6800000000000005,0,0.42,-1.559456,0.023038192,-0.44815016,-1.2217305,-1.5009832,1.4999998
137,0.6850000000000005,0,0.42,-1.5728152,0.034926564,-0.541755,-1.1039519,-1.3071802,1.2488053
138,0.6900000000000005,0,0.42,-1.5959395,0.034916237,-0.73764557,-1.0526553,-1.1070158,0.99954426
139,0.6950000000000005,0,0.42,-1.6190974,0.034901585,-0.934187,-1.034961,-0.90688676,0.75218636
140,0.7000000000000005,0,0.42,-1.6399714,0.03490564,-1.1308638,-1.0295279,-0.7068628,0.61636174
141,0.7050000000000005,0,0.41999996,-1.6698104,0.008109319,-1.2217273,-1.1945462,-0.52313924,0.8646769
142,0.7100000000000005,0,0.41884023,-1.7136889,-0.06951018,-1.2217306,-1.2216609,-0.33779466,1.0906184
143,0.7150000000000005,0,0.42,-1.7235827,-0.06472463,-1.2217269,-1.2217305,-0.13806126,1.3401405
144,0.7200000000000005,0,0.42,-1.7266124,-0.04117987,-1.221727,-1.2217305,0.061056364,1.5
145,0.7250000000000005,0,0.42,-1.748206,-0.0698132,-1.0409029,-1.0357524,-0.13696171,1.2547703
146,0.7300000000000005,0,0.42,-1.7532846,-0.06590675,-0.8413959,-0.83665323,-0.33706376,1.0047514
147,0.7350000000000005,0,0.42,-1.751145,-0.051782094,-0.6412375,-0.63772064,-0.5367803,0.7545699
148,0.7400000000000005,0,0.38855597,-1.7570505,-0.06981383,-0.45399186,-0.48096558,-0.72396284,0.52992946
149,0.7450000000000006,0,0.35171074,-1.735325,-0.032594856,-0.59573543,-0.30967683,-0.5269257,0.28806996
150,0.7500000000000006,0,0.33353174,-1.7161207,-0.013115752,-0.7923382,-0.13644294,-0.3319918,0.06133544
151,0.7550000000000006,0,0.33568424,-1.6885744,0.03504307,-0.98635757,-0.060508598,-0.13530764,-0.16133557
152,0.7600000000000006,0,0.35567,-1.6876068,0.034909613,-1.1747594,-0.03727009,0.064585395,-0.40701512
153,0.7650000000000006,0,0.4025282,-1.7099243,-0.003634632,-1.2216964,-0.19776343,-0.13233085,-0.6228788
154,0.7700000000000006,0,0.41958746,-1.7362224,-0.06970745,-1.2217315,-0.28840733,-0.32302478,-0.7124595
155,0.7750000000000006,0,0.41999987,-1.7302898,-0.06867396,-1.2217196,-0.31689095,-0.52077705,-0.7452625
156,0.7800000000000006,0,0.42,-1.7206953,-0.062265396,-1.2217226,-0.32608965,-0.72078,-0.7571949
157,0.7850000000000006,0,0.42,-1.7004005,-0.010375673,-1.2217212,-0.5159008,-0.5299885,-0.5070451
158,0.7900000000000006,0,0.41999954,-1.6816742,0.033993293,-1.2217243,-0.7008773,-0.33262488,-0.25833395
159,0.7950000000000006,0,0.41999957,-1.6852604,0.012092213,-1.2217128,-0.78750694,-0.1324441,-0.009613199
160,0.8000000000000006,0,0.42,-1.6898044,-0.019412203,-1.2217305,-0.8177671,0.06767236,0.23701397
161,0.8050000000000006,0,0.42,-1.6970768,-0.06953628,-1.0431145,-0.7316456,-0.1291289,0.31744325
162,0.8100000000000006,0,0.42,-1.6773143,-0.05300761,-0.8449877,-0.6979644,-0.3292916,0.34711656
163,0.8150000000000006,0,0.42,-1.648801,-0.01765143,-0.6452887,-0.68632793,-0.52943826,0.3579427
164,0.8200000000000006,0,0.42,-1.6138763,0.029571887,-0.4452753,-0.68221754,-0.72926044,0.36190313
165,0.8250000000000006,0,0.41748643,-1.6068363,0.034171805,-0.53064466,-0.61927694,-0.53119767,0.27227303
166,0.8300000000000006,0,0.4158861,-1.6145545,0.019767003,-0.7266544,-0.5903369,-0.3310617,0.2453484
167,0.8350000000000006,0,0.41846535,-1.6291243,0.00379089,-0.92532426,-0.5784436,-0.13092303,0.23767152
168,0.8400000000000006,0,0.42,-1.6470804,-0.01013125,-1.1238189,-0.5727416,0.069157735,0.23447344
169,0.8450000000000006,0,0.41944557,-1.6766754,-0.06980644,-1.0110328,-0.595203,0.26389864,0.30365217
170,0.8500000000000006,0,0.42,-1.674868,-0.06664816,-0.8132218,-0.60205984,0.46382353,0.3287618
171,0.8550000000000006,0,0.4157974,-1.6701198,-0.06372454,-0.64138407,-0.5990642,0.5930998,0.33914006
172,0.8600000000000007,0,0.3912483,-1.654134,-0.069744706,-0.5445279,-0.5988984,0.56340545,0.34319168
173,0.8650000000000007,0,0.3768786,-1.6153717,-0.033098605,-0.69860196,-0.44304618,0.7608309,0.09200596
174,0.8700000000000007,0,0.3904001,-1.5665495,0.034928557,-0.8927059,-0.36543134,0.95848936,-0.118109755
175,0.8750000000000007,0,0.40568662,-1.5628768,0.034928758,-1.0848609,-0.34057233,1.1532319,-0.20599921
176,0.8800000000000007,0,0.41244173,-1.5819092,0.013287971,-1.2217304,-0.32874912,1.3465219,-0.2388005
177,0.8850000000000007,0,0.41983068,-1.6205087,-0.069813974,-1.2217308,-0.18264863,1.5,-0.39674166
178,0.8900000000000007,0,0.4199996,-1.6210306,-0.053539217,-1.2217307,-0.11959388,1.4999998,-0.4545563
179,0.8950000000000007,0,0.41999355,-1.6205924,-0.037486643,-1.2217276,-0.1020572,1.5,-0.48897535
180,0.9000000000000007,0,0.41999897,-1.6258568,-0.04405046,-1.2217301,-0.09238389,1.5,-0.49224356
181,0.9050000000000007,0,0.41999453,-1.639834,-0.06984506,-1.0401008,-0.1588193,1.3006434,-0.43649587
182,0.9100000000000007,0,0.42,-1.6389142,-0.06962826,-0.84202987,-0.18502443,1.100843,-0.41594627
183,0.9150000000000007,0,0.42,-1.6346645,-0.06673442,-0.6421473,-0.19427778,0.9007624,-0.4083143
184,0.9200000000000007,0,0.38819993,-1.62315,-0.069776595,-0.515529,-0.19311333,0.7194705,-0.40396607
185,0.9250000000000007,0,0.3547193,-1.5989981,-0.06979122,-0.36060485,-0.19484884,0.5051779,-0.4031592
186,0.9300000000000007,0,0.33089143,-1.5654646,-0.06978662,-0.19661985,-0.195712,0.29428238,-0.4030609
187,0.9350000000000007,0,0.31883985,-1.5231565,-0.06976827,-0.028526379,-0.19629808,0.14407228,-0.40317908
188,0.9400000000000007,0,0.32440314,-1.47727,-0.06982749,0.1494973,-0.19739197,0.08848917,-0.40333545
189,0.9450000000000007,0,0.35722262,-1.4333267,-0.06942473,0.34838566,-0.19862644,0.07221588,-0.4037124
190,0.9500000000000007,0,0.4168121,-1.390193,-0.06962581,0.5483894,-0.19916373,0.0659539,-0.40385023
191,0.9550000000000007,0,0.42,-1.3443652,-0.061155934,0.7409526,-0.19815801,0.06332432,-0.40355647
192,0.9600000000000007,0,0.42,-1.2998191,-0.052756727,0.9394398,-0.1985464,0.06253806,-0.40367118
193,0.9650000000000007,0,0.42,-1.2571065,-0.044414777,1.1377293,-0.19864012,0.06223429,-0.40371078
194,0.9700000000000008,0,0.41991657,-1.2025582,0.0017247306,1.2217312,-0.20390365,0.06281473,-0.4104569
195,0.9750000000000008,0,0.4105427,-1.1603508,0.034910284,1.2217143,-0.20326537,0.06269549,-0.41885543
196,0.9800000000000008,0,0.40834564,-1.1373132,0.034914926,1.2217165,-0.19968794,0.06229086,-0.41356197
197,0.9850000000000008,0,0.40754086,-1.1265247,0.03491501,1.2217159,-0.19828634,0.062114302,-0.41214207
198,0.9900000000000008,0,0.40817145,-1.1275531,0.03448854,1.2217221,-0.19900407,0.062087573,-0.41331756
199,0.9950000000000008,0,0.4115119,-1.1391821,0.027004596,1.221723,-0.20034724,0.0621183,-0.4156548
200,1.0000000000000007,0,0.41745725,-1.1619936,0.0097206775,1.2217228,-0.20077775,0.062129047,-0.41631418
201,1.0050000000000006,0,0.42,-1.1942513,-0.017442042,1.2217188,-0.1994965,0.06206988,-0.40998673
202,1.0100000000000005,0,0.42,-1.2284756,-0.048340347,1.2217184,-0.19881211,0.062065694,-0.406016
203,1.0150000000000003,0,0.42,-1.258801,-0.06981339,1.2217153,-0.20007676,0.061849426,-0.40476894
204,1.0200000000000002,0,0.42,-1.2798096,-0.06980782,1.2217183,-0.19910121,0.061978966,-0.40410143
205,1.0250000000000001,0,0.41999984,-1.27475,0.0070928163,1.0252547,-0.26652926,0.26205468,-0.38781184
206,1.03,0,0.42,-1.290192,0.03332056,0.8281923,-0.28754663,0.46166694,-0.38125607
207,1.035,0,0.42,-1.3312308,-0.00391764,0.71118164,-0.29448497,0.65991706,-0.37878406
208,1.0399999999999998,0,0.42,-1.3822699,-0.068879426,0.66973644,-0.29868367,0.86002463,-0.37805745
209,1.0449999999999997,0,0.42,-1.4077319,-0.069829136,0.53669953,-0.25119027,1.0599378,-0.5596662
210,1.0499999999999996,0,0.41999978,-1.4301565,-0.06981419,0.4878216,-0.23015815,1.2371744,-0.62789774
211,1.0549999999999995,0,0.42,-1.4517043,-0.0696714,0.47081688,-0.22307111,1.31264,-0.65314376
212,1.0599999999999994,0,0.42,-1.4724346,-0.06847796,0.4646605,-0.22065215,1.3404905,-0.66248727
213,1.0649999999999993,0,0.42,-1.4923195,-0.06536726,0.28146043,-0.03829791,1.4999998,-0.91267824
214,1.0699999999999992,0,0.41999957,-1.5072331,-0.0489757,0.08125674,0.1392091,1.5,-1.1614538
215,1.074999999999999,0,0.42,-1.5112531,0.0037061726,-0.11892034,0.21262175,1.4999999,-1.4113085
216,1.079999999999999,0,0.42,-1.5260112,0.034908295,-0.30950606,0.23949414,1.4999999,-1.5009832
217,1.0849999999999989,0,0.42,-1.5619007,0.034906197,-0.48848656,0.06557225,1.4999999,-1.2510672
218,1.0899999999999987,0,0.42,-1.5997204,0.034905188,-0.68858165,-0.13422558,1.5,-1.0009575
219,1.0949999999999986,0,0.41999876,-1.6373128,0.03279298,-0.887324,-0.3281031,1.4999999,-0.75413305
220,1.0999999999999985,0,0.4199997,-1.6807901,0.005282221,-1.0841573,-0.42487755,1.5,-0.6197085
221,1.1049999999999984,0,0.4183786,-1.7321267,-0.069733486,-1.221724,-0.2669931,1.4999999,-0.864148
222,1.1099999999999983,0,0.42,-1.7444961,-0.067527026,-1.2217305,-0.07513219,1.4999999,-1.1130958
223,1.1149999999999982,0,0.42,-1.751725,-0.054749567,-1.2217306,0.12496099,1.4999998,-1.3632709
224,1.119999999999998,0,0.42,-1.7557796,-0.035005443,-1.2217305,0.32283625,1.5,-1.5009832
225,1.124999999999998,0,0.42,-1.758535,-0.013250738,-1.2217305,0.5227607,1.4999999,-1.5009831
226,1.129999999999998,0,0.42,-1.7599632,0.012798901,-1.2217305,0.72238386,1.4999999,-1.500983
227,1.1349999999999978,0,0.42,-1.7643698,0.034247313,-1.2217306,0.920344,1.4999998,-1.5009832
228,1.1399999999999977,0,0.42,-1.7818398,0.027320227,-1.2217305,1.119145,1.4999998,-1.500983
229,1.1449999999999976,0,0.42,-1.7973179,0.03396863,-1.2217305,1.221686,1.5,-1.5009832
230,1.1499999999999975,0,0.42,-1.8208473,0.027857289,-1.2217305,1.2217151,1.4999998,-1.5009832
231,1.1549999999999974,0,0.42,-1.84497,0.02030364,-1.2217305,1.2217155,1.4999998,-1.5009832
232,1.1599999999999973,0,0.42,-1.8695279,0.01169151,-1.2217305,1.221716,1.4999999,-1.5009831
233,1.1649999999999971,0,0.4197766,-1.8954203,-0.0025494082,-1.033289,1.0447587,1.299982,-1.2497641
234,1.169999999999997,0,0.42,-1.9201854,-0.012576925,-0.8334447,0.84466785,1.0999479,-0.99992955
235,1.174999999999997,0,0.41315532,-1.9419636,-0.013690343,-0.6415684,0.661633,0.8944755,-0.7753984
236,1.1799999999999968,0,0.37283227,-1.9595996,-0.017166562,-0.4735015,0.4930142,0.6961122,-0.5289391
237,1.1849999999999967,0,0.35144436,-1.9894676,-0.069812216,-0.32591677,0.6327238,0.52140576,-0.77003354
238,1.1899999999999966,0,0.33019105,-1.9849883,-0.069814205,-0.18863204,0.82199556,0.29786727,-1.0067359
239,1.1949999999999965,0,0.318594,-1.9684503,-0.06980708,-0.03219236,1.0199058,0.121768564,-1.2502153
