step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right,q1_left_ref,q2_left_ref,q1_right_ref,q2_right_ref
0,0.0,0,0.006867002695798874,1.3927377029432364e-09,-2.3224521756802293e-17,7.662364782607465e-19,-1.325781511152535e-17,5.2332682198120005e-23,2.0317315671055566e-18,nan,nan,nan,nan
1,0.05999999865889549,0,0.038587793707847595,0.02091226726770401,0.0666922926902771,-0.19036781787872314,-0.04193709418177605,0.20018425583839417,-1.5242462723108474e-06,nan,nan,nan,nan
2,0.1099999975413084,0,0.09729315340518951,0.04288148880004883,0.13710254430770874,-0.3904750347137451,-0.08544240891933441,0.398231565952301,-8.655856618133839e-07,nan,nan,nan,nan
3,0.1599999964237213,0,0.18093326687812805,0.06010369211435318,0.19218473136425018,-0.49865564703941345,-0.17173606157302856,0.5882773399353027,1.9059725673287176e-05,nan,nan,nan,nan
4,0.20999999530613422,0,0.2860860824584961,0.06641751527786255,0.21698367595672607,-0.49003252387046814,-0.22837579250335693,0.3903181850910187,-2.1047135305707343e-06,nan,nan,nan,nan
5,0.25999999418854713,0,0.3390977382659912,0.0725700631737709,0.23478788137435913,-0.45943939685821533,-0.2411155104637146,0.20932574570178986,-8.282052476715762e-06,nan,nan,nan,nan
6,0.30999999307096004,0,0.3408554494380951,0.0725201889872551,0.2201627790927887,-0.44595494866371155,-0.15806177258491516,0.4089505076408386,0.0004055043391417712,nan,nan,nan,nan
7,0.35999999195337296,0,0.3451552093029022,0.07858040928840637,0.2227502018213272,-0.4898810386657715,-0.06931634992361069,0.38194242119789124,-1.6632644474157132e-05,nan,nan,nan,nan
8,0.40999999083578587,0,0.3354724943637848,0.07719818502664566,0.21113763749599457,-0.41195914149284363,0.03574516251683235,0.2688025236129761,6.472407221735921e-06,nan,nan,nan,nan
9,0.4599999897181988,0,0.3219527304172516,0.06130800023674965,0.15061376988887787,-0.22526498138904572,0.1448323279619217,0.0647917091846466,1.1758110304072034e-05,nan,nan,nan,nan
10,0.5099999886006117,0,0.3171848654747009,0.0475253127515316,0.08919917792081833,-0.07635534554719925,0.18166674673557281,0.00029240568983368576,2.7009647965314798e-05,nan,nan,nan,nan
11,0.5599999874830246,0,0.31618618965148926,0.04288451746106148,0.04872525855898857,-0.015371281653642654,0.12909404933452606,8.857646025717258e-05,-1.7166049701700103e-06,nan,nan,nan,nan
12,0.6099999863654375,0,0.31662657856941223,0.053082942962646484,0.057442013174295425,-0.017625899985432625,0.010728273540735245,0.0004667937464546412,-4.909610197501024e-06,nan,nan,nan,nan
13,0.6599999852478504,0,0.31775981187820435,0.06944841146469116,0.08695667237043381,-0.045137397944927216,-0.10019504278898239,0.00024335997295565903,-2.995874183397973e-06,nan,nan,nan,nan
14,0.7099999841302633,0,0.3183319866657257,0.07997271418571472,0.09043995290994644,-0.03833581134676933,-0.19012613594532013,-3.847645712085068e-05,1.0172320799028967e-05,nan,nan,nan,nan
15,0.7599999830126762,0,0.3239043354988098,0.07856108248233795,0.04741067811846733,-0.021100107580423355,-0.2129046767950058,0.19534939527511597,2.383513856329955e-05,nan,nan,nan,nan
16,0.8099999818950891,0,0.334573358297348,0.062361396849155426,-0.04203370586037636,-0.044734228402376175,-0.08583008497953415,0.3949824571609497,0.002938338089734316,nan,nan,nan,nan
17,0.8599999807775021,0,0.3336560130119324,0.06698636710643768,-0.048994824290275574,-0.24137996137142181,-0.06814629584550858,0.5924289226531982,9.73320784396492e-05,nan,nan,nan,nan
18,0.909999979659915,0,0.3334808647632599,0.07865772396326065,-0.019825207069516182,-0.4417227506637573,-0.10049702972173691,0.790723443031311,0.00016359362052753568,nan,nan,nan,nan
19,0.9599999785423279,0,0.3353988528251648,0.09396843612194061,0.036995355039834976,-0.6081332564353943,-0.17235957086086273,0.5915571451187134,3.0074403184698895e-05,nan,nan,nan,nan
20,1.0099999774247408,0,0.3358173072338104,0.08619752526283264,0.021739471703767776,-0.6299321055412292,-0.1634378284215927,0.7802659273147583,0.0015501432353630662,nan,nan,nan,nan
21,1.0599999763071537,0,0.33619946241378784,0.07329416275024414,0.0028915060684084892,-0.5205675959587097,-0.14771081507205963,0.6602578163146973,9.011319343699142e-05,nan,nan,nan,nan
22,1.1099999751895666,0,0.3369433581829071,0.05436605215072632,-0.02738242782652378,-0.3675903081893921,-0.12185487896203995,0.8526299595832825,0.00013662544370163232,nan,nan,nan,nan
23,1.1599999740719795,0,0.3403315246105194,0.053099118173122406,0.01389808114618063,-0.3189302086830139,-0.18816567957401276,0.6627370715141296,-0.00022491200070362538,nan,nan,nan,nan
24,1.2099999729543924,0,0.34226953983306885,0.04884589463472366,0.051370516419410706,-0.3140740394592285,-0.2529140114784241,0.49480316042900085,2.3807484467397444e-05,nan,nan,nan,nan
25,1.2599999718368053,0,0.3300597667694092,0.03333950787782669,0.04756723716855049,-0.25514110922813416,-0.2680618166923523,0.3631967008113861,-2.278597094118595e-06,nan,nan,nan,nan
26,1.3099999707192183,0,0.32119932770729065,0.013557705096900463,0.029831811785697937,-0.17660057544708252,-0.24045196175575256,0.2268335074186325,-3.976043899456272e-06,nan,nan,nan,nan
27,1.3599999696016312,0,0.3167073130607605,-0.00574782257899642,0.017009856179356575,-0.10382242500782013,-0.1809220314025879,0.08769025653600693,-3.618887831180473e-06,nan,nan,nan,nan
28,1.409999968484044,0,0.3164859116077423,-0.023496199399232864,0.011987434700131416,-0.06750958412885666,-0.09144417196512222,-7.660205301363021e-05,1.574640737089794e-05,nan,nan,nan,nan
29,1.459999967366457,0,0.31742092967033386,-0.040653761476278305,0.007565085310488939,-0.08015341311693192,-0.012015254236757755,-8.42114895931445e-05,1.788010195014067e-05,nan,nan,nan,nan
30,1.50999996624887,0,0.3187251687049866,-0.05651559680700302,0.007803790736943483,-0.09862476587295532,-0.0038478802889585495,-0.00013776973355561495,3.189944982295856e-05,nan,nan,nan,nan
31,1.5599999651312828,0,0.3226875960826874,-0.07600752264261246,-0.006697831675410271,-0.18325722217559814,0.012703949585556984,0.15800777077674866,1.4014778571436182e-05,nan,nan,nan,nan
32,1.6099999640136957,0,0.327107310295105,-0.08738987147808075,0.0016832714900374413,-0.3654620349407196,-0.00530747277662158,0.35828977823257446,-7.251124770846218e-05,nan,nan,nan,nan
33,1.6599999628961086,0,0.327424019575119,-0.09481829404830933,0.01989864371716976,-0.5653248429298401,-0.0425090529024601,0.5562227368354797,-6.912273420311976e-06,nan,nan,nan,nan
34,1.7099999617785215,0,0.3283878564834595,-0.10137349367141724,0.04314837604761124,-0.7280259728431702,-0.0867583230137825,0.7547738552093506,0.0002934000513050705,nan,nan,nan,nan
35,1.7599999606609344,0,0.3292776644229889,-0.12054651230573654,0.04014727473258972,-0.7111046314239502,-0.10412287712097168,0.5561161041259766,0.00019844842609018087,nan,nan,nan,nan
36,1.8099999595433474,0,0.33052748441696167,-0.1406988650560379,0.03581986203789711,-0.658685028553009,-0.12042572349309921,0.7497579455375671,0.00013426199438981712,nan,nan,nan,nan
37,1.8599999584257603,0,0.3322114944458008,-0.16471467912197113,0.0262176301330328,-0.5466469526290894,-0.1328282207250595,0.9498875737190247,-5.7000932429218665e-05,nan,nan,nan,nan
38,1.9099999573081732,0,0.3349289000034332,-0.19086211919784546,0.02056960202753544,-0.4013362228870392,-0.15387502312660217,0.7528162002563477,-0.00013797434803564101,nan,nan,nan,nan
39,1.959999956190586,0,0.338605135679245,-0.21940146386623383,0.013802488334476948,-0.2695334851741791,-0.1762709617614746,0.5540069341659546,-7.07423678250052e-05,nan,nan,nan,nan
40,2.009999955072999,0,0.33423474431037903,-0.24373160302639008,0.019711919128894806,-0.22617493569850922,-0.2080449014902115,0.41759538650512695,-2.059667622233974e-06,nan,nan,nan,nan
41,2.059999953955412,0,0.3244433104991913,-0.266702800989151,0.02567662112414837,-0.19336743652820587,-0.22908848524093628,0.28949227929115295,-2.410308752587298e-06,nan,nan,nan,nan
42,2.109999952837825,0,0.3181319534778595,-0.2940741777420044,0.018627362325787544,-0.1354406476020813,-0.20538978278636932,0.14388509094715118,-3.00834085464885e-06,nan,nan,nan,nan
43,2.1599999517202377,0,0.31700944900512695,-0.3230993151664734,0.010009975172579288,-0.07506036758422852,-0.14476269483566284,-2.980463978019543e-05,1.888063343358226e-05,nan,nan,nan,nan
44,2.2099999506026506,0,0.3184663951396942,-0.35518190264701843,-0.010790043510496616,-0.07652442902326584,-0.05052105337381363,-6.528377707581967e-05,1.2998622878512833e-05,nan,nan,nan,nan
45,2.2599999494850636,0,0.3212249279022217,-0.3850017786026001,-0.017605558037757874,-0.10002563893795013,0.02650916576385498,-3.792546704062261e-05,7.805913810443599e-06,nan,nan,nan,nan
46,2.3099999483674765,0,0.3249783515930176,-0.4180540144443512,-0.02954578399658203,-0.11915230005979538,0.07295093685388565,-0.00013839964231010526,3.036738962691743e-05,nan,nan,nan,nan
47,2.3599999472498894,0,0.33048489689826965,-0.4614410102367401,-0.07616105675697327,-0.17623865604400635,0.14285245537757874,0.15314705669879913,-0.0005470144096761942,nan,nan,nan,nan
48,2.4099999461323023,0,0.32967016100883484,-0.49169251322746277,-0.0878872498869896,-0.3200792074203491,0.12616609036922455,0.3523932993412018,9.264430991606787e-05,nan,nan,nan,nan
49,2.459999945014715,0,0.32770663499832153,-0.5062925815582275,-0.048845525830984116,-0.5189399719238281,0.048147205263376236,0.549160897731781,-3.368550096638501e-05,nan,nan,nan,nan
50,2.509999943897128,0,0.327900767326355,-0.5169438719749451,0.0030254677403718233,-0.7134748101234436,-0.045626990497112274,0.748345136642456,-4.367190194898285e-05,nan,nan,nan,nan
51,2.559999942779541,0,0.32953909039497375,-0.5475549101829529,-0.004276243969798088,-0.7336890697479248,-0.07096724957227707,0.9484262466430664,0.0012439280981197953,nan,nan,nan,nan
52,2.609999941661954,0,0.33283329010009766,-0.5812094807624817,-0.002342496532946825,-0.6326484680175781,-0.11247171461582184,0.7488889098167419,-5.995257743052207e-05,nan,nan,nan,nan
53,2.659999940544367,0,0.33718305826187134,-0.6204728484153748,-0.016794534400105476,-0.50823575258255,-0.13507875800132751,0.9436620473861694,1.0148368346563075e-05,nan,nan,nan,nan
54,2.7099999394267797,0,0.3438766896724701,-0.6631916761398315,-0.02666112780570984,-0.3254496455192566,-0.16899247467517853,0.7455134987831116,-0.0001472801814088598,nan,nan,nan,nan
55,2.7599999383091927,0,0.35291174054145813,-0.7092212438583374,-0.036279283463954926,-0.15602202713489532,-0.2077944427728653,0.5452571511268616,0.0005144242313690484,nan,nan,nan,nan
56,2.8099999371916056,0,0.34015774726867676,-0.748389720916748,-0.05391797423362732,-0.1284409612417221,-0.23233148455619812,0.4572528302669525,-3.304353640487534e-06,nan,nan,nan,nan
57,2.8599999360740185,0,0.3296017646789551,-0.7769951820373535,-0.03834018111228943,-0.13388314843177795,-0.2827359437942505,0.35864612460136414,-3.321356189189828e-06,nan,nan,nan,nan
58,2.9099999349564314,0,0.32196763157844543,-0.8070744872093201,-0.025592755526304245,-0.1274125576019287,-0.28240087628364563,0.24436083436012268,-2.3692571176070487e-06,nan,nan,nan,nan
59,2.9599999338388443,0,0.3181469440460205,-0.8416265249252319,-0.02321689948439598,-0.09550914913415909,-0.22433774173259735,0.10420560836791992,-2.3121951926441398e-06,nan,nan,nan,nan
60,3.009999932721257,0,0.3194836676120758,-0.8800951838493347,-0.030144765973091125,-0.06730678677558899,-0.12172966450452805,-0.0001919356727739796,3.5596178349805996e-05,nan,nan,nan,nan
61,3.05999993160367,0,0.3236582279205322,-0.9261384010314941,-0.0628349557518959,-0.06875768303871155,0.005888709798455238,-9.557526209391654e-05,1.963938666449394e-05,nan,nan,nan,nan
62,3.109999930486083,0,0.32988131046295166,-0.9775451421737671,-0.10835697501897812,-0.0563834086060524,0.10562939941883087,-2.8356671464280225e-05,0.24888375401496887,nan,nan,nan,nan
63,3.159999929368496,0,0.33488547801971436,-1.0245285034179688,-0.12885995209217072,-0.12493885308504105,0.20766249299049377,0.11664282530546188,0.022366849705576897,nan,nan,nan,nan
64,3.209999928250909,0,0.3314763009548187,-1.0510972738265991,-0.09496434032917023,-0.2960380017757416,0.16344425082206726,0.3168260157108307,0.0001338708825642243,nan,nan,nan,nan
65,3.2599999271333218,0,0.327888160943985,-1.0710278749465942,-0.04929928854107857,-0.49544692039489746,0.06894076615571976,0.5146177411079407,-7.013554568402469e-05,nan,nan,nan,nan
66,3.3099999260157347,0,0.3275332450866699,-1.0873407125473022,0.0060068825259804726,-0.6943745613098145,-0.0367003008723259,0.7134195566177368,-8.827933197608218e-05,nan,nan,nan,nan
67,3.3599999248981476,0,0.32920318841934204,-1.1229318380355835,0.0022563773673027754,-0.7335216403007507,-0.07194694131612778,0.9094401597976685,0.0004214706423226744,nan,nan,nan,nan
68,3.4099999237805605,0,0.33282414078712463,-1.1641345024108887,-0.0016511762514710426,-0.6379372477531433,-0.11307571828365326,0.7096181511878967,-5.122879520058632e-05,nan,nan,nan,nan
69,3.4599999226629734,0,0.3379082679748535,-1.21195650100708,-0.024777604267001152,-0.5075663328170776,-0.13187353312969208,0.9004659056663513,-3.056351488339715e-05,nan,nan,nan,nan
70,3.5099999215453863,0,0.34592142701148987,-1.2632451057434082,-0.04277241602540016,-0.31506675481796265,-0.16305935382843018,0.701675295829773,-7.10030653863214e-05,nan,nan,nan,nan
71,3.5599999204277992,0,0.3476795256137848,-1.321164846420288,-0.08251529186964035,-0.15201355516910553,-0.17290012538433075,0.525290310382843,3.160530832246877e-05,nan,nan,nan,nan
72,3.609999919310212,0,0.33617377281188965,-1.375608205795288,-0.13309206068515778,-0.06388956308364868,-0.20187044143676758,0.3909130096435547,-4.366193934401963e-06,nan,nan,nan,nan
73,3.659999918192625,0,0.3300536870956421,-1.418999433517456,-0.14504177868366241,-0.04255768284201622,-0.2475646734237671,0.2924801707267761,-5.616509042738471e-06,nan,nan,nan,nan
74,3.709999917075038,0,0.3270649015903473,-1.4614917039871216,-0.1457088589668274,-0.03544895723462105,-0.24296796321868896,0.19017842411994934,-4.648791218642145e-06,nan,nan,nan,nan
75,3.759999915957451,0,0.32849037647247314,-1.5088170766830444,-0.15178188681602478,-0.004907907452434301,-0.17898280918598175,0.04989028722047806,-5.9853496168216225e-06,nan,nan,nan,nan
76,3.8099999148398638,0,0.33671697974205017,-1.563645839691162,-0.2003765106201172,0.03728523850440979,-0.06735540181398392,-4.565331983030774e-05,0.24611108005046844,nan,nan,nan,nan
77,3.8599999137222767,0,0.3488863706588745,-1.6217354536056519,-0.2627723515033722,0.0675186738371849,0.06477807462215424,-8.588587661506608e-06,0.4923456609249115,nan,nan,nan,nan
78,3.9099999126046896,0,0.3631806969642639,-1.6797987222671509,-0.30727052688598633,0.06922705471515656,0.1791050285100937,-3.4329481422901154e-05,0.7369882464408875,nan,nan,nan,nan
79,3.9599999114871025,0,0.3791167736053467,-1.7331173419952393,-0.32126176357269287,-0.029272297397255898,0.2604483366012573,0.1080719530582428,0.49423977732658386,nan,nan,nan,nan
80,4.009999910369515,0,0.37977316975593567,-1.779329776763916,-0.3332720398902893,-0.20892594754695892,0.2664843201637268,0.3063413202762604,0.3917694389820099,nan,nan,nan,nan
81,4.059999909251928,0,0.3639644682407379,-1.8098379373550415,-0.30163538455963135,-0.40907779335975647,0.21969690918922424,0.49475744366645813,0.31862396001815796,nan,nan,nan,nan
82,4.109999908134341,0,0.3435231149196625,-1.8254514932632446,-0.21384255588054657,-0.6087527275085449,0.12168815732002258,0.6867201328277588,0.21128791570663452,nan,nan,nan,nan
83,4.159999907016754,0,0.33301234245300293,-1.8401588201522827,-0.11694230884313583,-0.7430524826049805,0.022451046854257584,0.8792274594306946,0.040435705333948135,nan,nan,nan,nan
84,4.209999905899167,0,0.3381798267364502,-1.8781777620315552,-0.09168395400047302,-0.6646544933319092,-0.052083827555179596,1.0751243829727173,1.0371130883868318e-05,nan,nan,nan,nan
85,4.25999990478158,0,0.34698250889778137,-1.9278717041015625,-0.08850236982107162,-0.4697713851928711,-0.11482514441013336,0.8758842349052429,-7.907965482445434e-05,nan,nan,nan,nan
86,4.309999903663993,0,0.3598107397556305,-1.982730746269226,-0.09173399955034256,-0.2699680030345917,-0.1743057370185852,0.6757336258888245,-9.194482117891312e-05,nan,nan,nan,nan
87,4.359999902546406,0,0.34962353110313416,-2.0555238723754883,-0.1782674938440323,-0.10221531987190247,-0.16265200078487396,0.4945768415927887,2.8817094062105753e-05,nan,nan,nan,nan
88,4.409999901428819,0,0.3479447066783905,-2.129512310028076,-0.28381264209747314,0.06379126757383347,-0.14759521186351776,0.33371907472610474,-7.2455191002518404e-06,nan,nan,nan,nan
89,4.459999900311232,0,0.35483813285827637,-2.1930394172668457,-0.3530849814414978,0.1470928192138672,-0.1580112725496292,0.2419275939464569,0.2430066615343094,nan,nan,nan,nan
90,4.5099998991936445,0,0.3591751158237457,-2.2464375495910645,-0.3716082274913788,0.1571691781282425,-0.16983501613140106,0.16196146607398987,0.4858991801738739,nan,nan,nan,nan
91,4.559999898076057,0,0.3728357255458832,-2.3048059940338135,-0.39369529485702515,0.1814386397600174,-0.12029597163200378,0.0014434530166909099,0.7313354015350342,nan,nan,nan,nan
92,4.60999989695847,0,0.39462924003601074,-2.3759963512420654,-0.4922376573085785,0.27707287669181824,-0.021178722381591797,0.00039863219717517495,0.9812760949134827,nan,nan,nan,nan
93,4.659999895840883,0,0.4440690577030182,-2.463768243789673,-0.6667069792747498,0.44261354207992554,0.09269694238901138,1.2365551071980008e-07,1.2293058633804321,nan,nan,nan,nan
94,4.709999894723296,0,0.5205892324447632,-2.553295135498047,-0.8779478669166565,0.6391100287437439,0.18223758041858673,-0.0001015240850392729,1.4761568307876587,nan,nan,nan,nan
95,4.759999893605709,0,0.614299476146698,-2.632051467895508,-1.0923151969909668,0.8322339057922363,0.09947854280471802,-3.052062675124034e-05,1.4998915195465088,nan,nan,nan,nan
