step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
10,0.20762641727924347,0.5,0.0,0.0,-3.214085102081299,-0.0013106437399983406,-0.008484302088618279,0.0,-1.3962674140930176,0.0,-2.5043071782970827e-11,-5.00000006675716e-11,12.436895370483398,-6.8882293701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.05421583354473114,0.4547991156578064,-0.1100747361779213,0.13403309881687164,0.005752447992563248,-0.9969796538352966,-1.0,0.0,0.0,0.24864022433757782,0.03537861257791519,0.1369732767343521,-0.3355332016944885,0.023187553510069847,-0.03181621432304382,-0.030793335288763046,0.2536439299583435,-0.0010307669872418046,0.013155162334442139,-0.2556324899196625,0.08743064850568771,0.017826510593295097,0.032836418598890305,-0.44576385617256165,0.039731115102767944,-3.027604341506958,-1.5725446939468384,0.9723699688911438,-0.23344527184963226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.8675951361656189,0.5,0.0,0.0,-3.365880250930786,-0.0018560803728178144,-0.007135392166674137,0.0,-1.3960236310958862,0.0,-4.848620203251608e-12,-5.00000006675716e-11,13.117053031921387,-6.969881057739258,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.15763846039772034,-1.1443449258804321,0.06986488401889801,0.1000775396823883,-0.0013104751706123352,-0.9968665838241577,-1.0,0.0,0.0,0.30502164363861084,0.021195322275161743,0.11849058419466019,-0.3249415457248688,0.042213283479213715,-0.035371460020542145,-0.020542774349451065,0.2653962969779968,-0.02866104617714882,-0.12739984691143036,0.11938982456922531,0.12302082777023315,-0.02010137401521206,0.04163975641131401,-0.17668068408966064,0.05894223600625992,-2.2298243045806885,-1.6382063627243042,0.9238795638084412,-0.3826833963394165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.04364427551627159,0.5,0.0,0.0,-3.2870471477508545,-0.0014316391898319125,-0.0027501436416059732,0.0,-1.3961529731750488,0.0,-3.3008127481304328e-12,-5.00000006675716e-11,3.0159716606140137,-6.895330429077148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.03753866255283356,1.0733799934387207,0.16816939413547516,0.14128321409225464,-0.005178365856409073,-0.9645723104476929,-1.0,0.0,0.0,0.34569770097732544,0.0301141906529665,0.12015945464372635,-0.333825021982193,0.015951815992593765,-0.025473330169916153,-0.01744348555803299,0.2804048955440521,0.048316873610019684,0.08205360174179077,-0.15307804942131042,-0.2840367555618286,0.013113814406096935,-0.041276317089796066,-0.3459899425506592,-0.17300543189048767,-2.405916929244995,-2.0401272773742676,0.8526402115821838,-0.5224984884262085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.9454071521759033,0.5,0.0,0.0,-3.21659779548645,-0.0009863001760095358,-0.003951039630919695,0.0,-1.3962304592132568,0.0,7.828446224600327e-12,-5.00000006675716e-11,9.700950622558594,-6.931440353393555,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.009502410888671875,-1.2073149681091309,0.03684361279010773,0.12625347077846527,0.001766599714756012,-0.9570403695106506,-1.0,0.0,0.0,0.402902215719223,0.021266238763928413,0.11450977623462677,-0.29930898547172546,0.028024906292557716,-0.021815679967403412,-0.02436237782239914,0.23501145839691162,-0.06595061719417572,-0.11519523710012436,0.2943284213542938,0.07027026265859604,0.04678557440638542,-0.008575642481446266,-0.13060089945793152,0.06316497921943665,-2.0988540649414062,-1.5944284200668335,0.760405957698822,-0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.14798608422279358,0.5,0.0,0.0,-3.2220027446746826,-0.0010257792891934514,-0.0021643242798745632,0.0,-1.3962875604629517,0.0,-1.5246701470794655e-11,-5.00000006675716e-11,7.89948034286499,-6.905369281768799,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.09213189780712128,0.7522673010826111,-0.11448268592357635,0.07538636028766632,-0.04978276416659355,-0.9848172664642334,-1.0,0.0,0.0,0.4643506705760956,0.023020679131150246,0.12284176796674728,-0.26948198676109314,-0.011384977027773857,-0.0345403254032135,-0.021157313138246536,0.3437286913394928,0.06499750912189484,0.06252282112836838,-0.00858559925109148,-0.20995347201824188,0.02538815140724182,0.029199345037341118,-0.3198103606700897,-0.0748688131570816,-2.4963502883911133,-1.5346317291259766,0.649448037147522,-0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.3557007908821106,0.5,0.0,0.0,-3.208695650100708,-0.00023722581681795418,-0.00022589528816752136,0.0,-1.3962279558181763,0.0,1.1801605699635065e-11,-5.00000006675716e-11,3.6258983612060547,-6.868087291717529,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.07729995250701904,-0.06825152039527893,0.1585705429315567,0.1411958485841751,0.003928627818822861,-0.9881450533866882,-1.0,0.0,0.0,0.51186203956604,0.03760700672864914,0.11512885242700577,-0.2626344561576843,-0.02353670820593834,-0.017861375585198402,-0.020428815856575966,0.2986454963684082,0.0201264675706625,0.006827831268310547,0.06827954202890396,-0.08027072250843048,-0.03664487227797508,-0.048409752547740936,-0.19063782691955566,-0.09787677228450775,-2.424147844314575,-1.5219262838363647,0.5224986672401428,-0.8526400923728943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.8131864666938782,0.5,0.0,0.0,-3.334489107131958,-0.01771882362663746,-0.0003510622482281178,0.0,-1.5996873378753662,0.0,-1.0404258184160131e-11,-5.00000006675716e-11,14.580793380737305,-7.1035661697387695,0.0,-3.204479455947876,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02651270478963852,0.0,-31.90545082092285,0.15000000596046448,0.09076537191867828,-0.5791733264923096,0.18752442300319672,0.09522256255149841,-0.003800373524427414,-0.9914005994796753,-1.0,0.0,0.0,0.5321782231330872,0.03323613107204437,0.11539299041032791,-0.2522169053554535,-0.06438533216714859,-0.07347197830677032,-0.029086938127875328,-0.013314887881278992,-0.025441685691475868,-0.047105491161346436,0.03072686865925789,-0.09063675254583359,0.12130459398031235,0.04592102766036987,-0.12881377339363098,-0.06263025104999542,-2.2524702548980713,-1.4980829954147339,0.38268351554870605,-0.9238795042037964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.32639870047569275,0.5,0.0,0.0,-3.410039186477661,-0.0022239077370613813,-0.039483193308115005,0.0,-1.4059852361679077,0.0,-5.752015530546828e-11,-5.00000006675716e-11,21.771223068237305,-6.9722490310668945,0.0,-3.204479455947876,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35107657313346863,0.0,-27.338796615600586,0.15000000596046448,-0.12111493200063705,-3.4488227367401123,-0.07794322818517685,0.09147493541240692,0.021776046603918076,-0.9683520793914795,-1.0,0.0,0.0,0.5159234404563904,0.020509609952569008,0.07862448692321777,-0.20365165174007416,-0.02608645148575306,-0.03409420698881149,-0.0163294468075037,-0.05232642963528633,-0.055025096982717514,-0.32048970460891724,0.31327635049819946,0.25644639134407043,0.3425673544406891,0.00045580865116789937,0.04537332057952881,0.03396791219711304,-0.4390409588813782,-0.7106054425239563,0.23344537615776062,-0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.28264209628105164,0.5,0.0,0.0,-3.4304566383361816,-0.0006089870585128665,-0.07153473049402237,0.0,-1.1016762256622314,0.0,-5.926208829221125e-11,-5.00000006675716e-11,27.183229446411133,-6.491429328918457,0.0,-3.204479455947876,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10183300822973251,0.0,-13.147187232971191,0.15000000596046448,-0.09402956068515778,0.03381749987602234,-0.07750023901462555,0.06538112461566925,-0.006574913859367371,-1.0120497941970825,-1.0,0.0,0.0,0.4994359612464905,0.015129676088690758,0.06455226987600327,-0.22536426782608032,-0.08610007911920547,0.025829913094639778,-0.027869269251823425,-0.09184997528791428,0.0061158062890172005,0.03210937976837158,-0.20070205628871918,-0.4006713926792145,0.36770686507225037,-0.00970474537461996,-0.3135201632976532,-0.40926799178123474,2.14471435546875,-1.1010152101516724,0.07845927774906158,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.7598241567611694,0.5,0.0,0.0,-1.7829011678695679,-0.002216718392446637,-0.04095480963587761,0.0,-0.8315771818161011,0.0,-2.6759117491281792e-11,-5.00000006675716e-11,29.15550422668457,-6.201233863830566,0.0,-3.204479455947876,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3295109272003174,0.0,13.14716625213623,0.15000000596046448,0.014529213309288025,-2.622063636779785,0.09623785316944122,0.06765234470367432,0.011459309607744217,-0.9991928935050964,-1.0,0.0,0.0,0.4905244708061218,0.01080634631216526,0.03348182886838913,-0.21139942109584808,-0.10429580509662628,0.09420601278543472,-0.0266572218388319,-0.04800364375114441,-0.041935354471206665,-0.23431353271007538,0.1691463440656662,0.04451921582221985,0.20670361816883087,-0.031150532886385918,-0.13932836055755615,-0.027126314118504524,3.8781392574310303,-0.14480166137218475,-0.07845897972583771,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
