step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0014386170078068972,0.5,0.0,0.0,-5.410337448120117,-0.14503516256809235,-11.66672420501709,0.0,-0.37500107288360596,0.0,-2.653861722393125e-12,-1.3454158620529455e-10,0.00047220729175023735,-0.07287652790546417,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.6286774446455654e-12,-1.329110866504779e-12,3.657609284890562e-11,3.643347429305166e-11,-4.843220963168804e-11,0.0,0.0,0.08883924782276154,-0.17435552179813385,-0.05453735589981079,-0.016160909086465836,-0.02310333587229252,-1.0371133089065552,-2.6908316612243652,0.0,0.0,0.00297596026211977,-0.006065292749553919,0.011322515085339546,-0.05741177499294281,0.05432718247175217,0.15558917820453644,-0.0012286053970456123,0.015286344103515148,0.03672514110803604,-0.05513618141412735,-0.3392326533794403,0.44993266463279724,0.4018816649913788,-0.021565282717347145,-1.1211997270584106,0.4695717692375183,15.997170448303223,-30.154361724853516,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.000983699574135244,0.5,0.0,0.0,-4.800238609313965,-0.0001349179947283119,-24.536155700683594,0.0,-0.3749818801879883,0.0,-5.169714482888832e-12,-1.3454158620529455e-10,0.0005086605087853968,-0.18911698460578918,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,5.247347261566615e-12,-7.510253703657543e-12,3.620531999204424e-11,3.6311158940760535e-11,-5.205088096649213e-11,0.0,6.181142837152764e-12,-0.039612412452697754,-0.29325246810913086,-0.07113374769687653,-0.03909030184149742,0.0441538505256176,-0.9888672232627869,-2.6908316612243652,0.0,0.0,0.003154960460960865,-0.008868703618645668,0.008912898600101471,-0.1501072198152542,0.13606835901737213,0.23216237127780914,0.007211629301309586,0.06895189732313156,-0.03819838911294937,-0.010638785548508167,-0.43923741579055786,0.35820531845092773,0.3593270778656006,0.038952767848968506,-2.6204774379730225,0.3031710982322693,43.091148376464844,-71.59415435791016,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0010876215528696775,0.5,0.0,0.0,-4.986157417297363,-3.174218363710679e-05,-20.460899353027344,0.0,-0.37499991059303284,0.0,-3.3553515868534056e-12,-1.3454158620529455e-10,0.00043987197568640113,-0.3260444700717926,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,8.860197298066197e-12,-1.3663797523988386e-11,3.566622344686188e-11,3.622010330550651e-11,-5.566373056931084e-11,0.0,1.2334687958526214e-11,-0.09321529418230057,-0.16988758742809296,-0.0726194977760315,-0.006870090961456299,-0.016528405249118805,-1.0090084075927734,-2.6908316612243652,0.0,0.0,0.015967773273587227,0.0007409630343317986,-0.005530122667551041,-0.23429541289806366,0.20055197179317474,0.32413217425346375,-0.008380756713449955,0.04357782006263733,-0.029503846541047096,-0.009121335111558437,-0.3608032763004303,0.3593006134033203,0.36647915840148926,-0.019421353936195374,-3.694632053375244,0.5246297717094421,74.8416976928711,-103.79337310791016,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0010977017227560282,0.5,0.0,0.0,-4.841400623321533,-3.158688559778966e-05,-23.45109748840332,0.0,-0.37499991059303284,0.0,-3.965253472792973e-12,-1.3454158620529455e-10,0.0004723707679659128,-0.4867919683456421,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.2416695276129541e-11,-1.9718213173369747e-11,3.4956437050537303e-11,3.615320195993199e-11,-5.922023288418288e-11,0.0,1.8389102740545837e-11,-0.09119486063718796,-0.1872561275959015,-0.06847581267356873,-0.009557299315929413,0.028174836188554764,-1.0276622772216797,-2.6908316612243652,0.0,0.0,0.04156777262687683,-0.00985975842922926,-0.008848373778164387,-0.2988368570804596,0.28258997201919556,0.39254218339920044,-0.005454195197671652,0.06312274187803268,-0.01960623823106289,-0.052793581038713455,-0.43819329142570496,0.4423926770687103,0.44124364852905273,-0.03676890209317207,-3.9487030506134033,0.5325475931167603,117.78376007080078,-126.17694854736328,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.604756398407517e-08,0.5,0.0,0.0,-5.882025718688965,-0.02222060039639473,-27.078935623168945,0.0,-0.3744596838951111,0.0,2.5976044232267625e-11,-1.3454158620529455e-10,8.697330144968873e-08,-0.5961915850639343,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.3892951893079708e-11,-2.1831021365659176e-11,3.3807585203549095e-11,3.4734520815149494e-11,-6.069648950113304e-11,0.0,2.0501910932835266e-11,-0.02313600480556488,2.259111166000366,0.16885881125926971,0.008674144744873047,-0.011077538132667542,-0.9790187478065491,-2.6908316612243652,0.0,0.0,0.05242045968770981,0.014970105141401291,0.015882583335042,-0.38431331515312195,0.2898327112197876,0.4600534439086914,0.0017246976494789124,0.13977165520191193,0.10227980464696884,0.2527643144130707,-0.3617170751094818,-0.3191414475440979,0.21773937344551086,-0.007618939969688654,-3.6489107608795166,-0.13184039294719696,169.77394104003906,-128.2705841064453,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0047439264203604e-08,0.5,0.0,0.0,-6.399999618530273,-3.686599666252732e-05,-14.762589454650879,0.0,-0.37499991059303284,0.0,7.296638293574631e-11,-1.3454158620529455e-10,3.164767753416342e-11,-0.6960505843162537,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.2172080184058576e-11,-2.0293513397495744e-11,3.232754341997435e-11,3.183153740593525e-11,-5.897562299628234e-11,0.0,1.8964402964671834e-11,-0.18642476201057434,2.549323081970215,0.11032770574092865,0.02513958141207695,0.02836298570036888,-1.0405582189559937,-2.6908316612243652,0.0,0.0,0.0830865427851677,0.02644181437790394,0.06907930970191956,-0.4635187089443207,0.20976519584655762,0.5361015796661377,0.0008195275440812111,0.0870790034532547,0.07768755406141281,0.24662578105926514,-0.3583666682243347,-0.3754067122936249,0.3722595274448395,-0.008419129066169262,-3.6414053440093994,-0.5740285515785217,199.56649780273438,-104.01224517822266,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.121118036768621e-08,0.5,0.0,0.0,-6.399999618530273,-3.6800145608140156e-05,-7.151150703430176,0.0,-0.37499991059303284,0.0,7.583059874471942e-11,-1.3454158620529455e-10,1.9768719647372812e-11,-0.8307952284812927,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,1.034094858354262e-11,-1.8698485468315873e-11,3.062602602077469e-11,2.8630854631561675e-11,-5.7144487058957694e-11,0.0,1.7369373300768487e-11,-0.1436629593372345,2.4807350635528564,0.08076559007167816,0.14747168123722076,0.015500318259000778,-1.0219320058822632,-2.6908316612243652,0.0,0.0,0.10152008384466171,0.04547921568155289,0.11752057820558548,-0.5423610806465149,0.11737065762281418,0.6029797792434692,0.00801762379705906,0.10119687765836716,0.033279310911893845,0.2508434057235718,-0.3949207067489624,-0.3932003676891327,0.37851643562316895,0.020188545808196068,-3.717726230621338,-0.524549663066864,190.9605255126953,-78.69339752197266,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.312724767250529e-08,0.5,0.0,0.0,-6.399999618530273,-3.6748057027580217e-05,-9.336576461791992,0.0,-0.3749999701976776,0.0,7.542339669486253e-11,-1.3454158620529455e-10,2.2208304639725895e-11,-1.002266526222229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,8.51425960984864e-12,-1.708248126286449e-11,2.8694678577689814e-11,2.514279409671083e-11,-5.53177954831785e-11,0.0,1.5753372564764057e-11,-0.15233644843101501,2.4964993000030518,-0.13961151242256165,0.17573605477809906,0.015415329486131668,-1.0362508296966553,-2.6908316612243652,0.0,0.0,0.1389981210231781,0.06079795956611633,0.17432132363319397,-0.6195501089096069,0.05233977735042572,0.7026355266571045,0.009286805987358093,0.21745164692401886,0.040970947593450546,0.23703251779079437,-0.3856101632118225,-0.4354708790779114,0.3518923223018646,-0.04019387438893318,-3.34696626663208,-0.5402830839157104,166.48658752441406,-60.40279006958008,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.60141206354092e-08,0.5,0.0,0.0,-5.833546161651611,-3.6675570299848914e-05,-8.987947463989258,0.0,-0.3749999701976776,0.0,7.483340336289501e-11,-1.3454158620529455e-10,2.617566580154218e-11,-1.2416266202926636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,6.69740608458258e-12,-1.544689202936933e-11,2.6531768101967224e-11,2.136772009331267e-11,-5.350094325895505e-11,0.0,1.411778159654542e-11,-0.09661026298999786,2.5296573638916016,-0.048450320959091187,0.21612413227558136,0.02005091682076454,-0.9857887625694275,-2.6908316612243652,0.0,0.0,0.1865103393793106,0.06308091431856155,0.2060808390378952,-0.7161791920661926,-0.04113344848155975,0.7714966535568237,0.007917815819382668,0.19446030259132385,0.07264983654022217,0.26037973165512085,-0.42295151948928833,-0.4010452330112457,0.4319612979888916,-0.026384061202406883,-2.809391498565674,-0.5373169183731079,139.56201171875,-47.22808074951172,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.010068283515466e-08,0.5,0.0,0.0,-5.619010925292969,-3.658379500848241e-05,-6.746036529541016,0.0,-0.37499991059303284,0.0,7.406204122206717e-11,-1.3454158620529455e-10,3.230359035821806e-11,-1.56132972240448,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,4.896883679800235e-12,-1.379371443455124e-11,2.4135627524346503e-11,1.7305960484104155e-11,-5.170041825208749e-11,0.0,1.2464603134365593e-11,0.03688226640224457,2.6269454956054688,-0.09555764496326447,0.2457001954317093,-0.031365733593702316,-0.9892449975013733,-2.6908316612243652,0.0,0.0,0.21603573858737946,0.08534584194421768,0.2678750455379486,-0.7813514471054077,-0.12034441530704498,0.8556946516036987,0.003893990069627762,0.22992931306362152,0.04503059387207031,0.22306059300899506,-0.3788435459136963,-0.4087561070919037,0.43051981925964355,0.019103694707155228,-2.29318904876709,-0.5820268988609314,115.34105682373047,-37.86429214477539,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
